R_fighter,B_fighter,date,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Max Holloway,Brian Ortega,12/ 8/2018,0,0,290,110,490,292,.59,.37,307,112,507,294,1,2,1,11,1,.18,0,0,0,0,0,0
Jon Jones,Alexander Gustafsson,12/29/2018,0,0,59,22,102,83,.57,.26,63,24,106,85,1,0,5,0,.20,.0,0,0,3,0,0,0
Israel Adesanya,Anderson Silva,2/ 9/2019,0,0,65,31,132,72,.49,.43,65,34,132,75,0,0,0,0,.0,.0,0,0,0,0,0,0
Jon Jones,Anthony Smith,3/ 2/2019,0,0,125,36,167,66,.74,.54,238,45,287,75,3,0,8,0,.37,.0,0,0,0,0,0,0
Max Holloway,Dustin Poirier,4/13/2019,0,0,181,178,446,381,.40,.46,208,180,473,383,0,1,0,8,.0,.12,1,0,0,0,0,0
Rose Namajunas,Jessica Andrade,5/11/2019,1,0,55,47,125,105,.44,.44,55,49,125,107,0,2,2,4,.0,.50,1,0,1,0,0,0
Henry Cejudo,Marlon Moraes,6/ 8/2019,0,0,90,57,171,119,.52,.47,99,59,182,121,1,0,4,2,.25,.0,1,0,1,0,0,0
Jon Jones,Thiago Santos,7/ 6/2019,0,0,59,43,90,166,.65,.25,59,43,90,166,0,0,1,0,.0,.0,0,0,0,0,0,0
Tedd Williams,Steve Judson,3/10/2000,1,0,9,14,19,27,.47,.51,13,21,23,36,0,0,0,1,.0,.0,0,0,0,0,0,0
Max Holloway,Frankie Edgar,7/27/2019,0,0,129,96,328,264,.39,.36,131,96,330,264,0,1,0,15,.0,.6,0,0,0,0,0,0
Daniel Cormier,Stipe Miocic,8/17/2019,0,1,181,123,263,229,.68,.53,230,135,317,244,1,1,3,3,.33,.33,0,0,2,0,0,0
Khabib Nurmagomedov,Dustin Poirier,9/ 7/2019,0,0,22,12,41,39,.53,.30,54,30,77,57,7,0,8,0,.87,.0,2,1,5,0,0,0
Robert Whittaker,Israel Adesanya,10/ 5/2019,0,2,32,40,116,95,.27,.42,32,40,116,95,0,0,0,0,.0,.0,0,0,0,0,0,0
Jorge Masvidal,Nate Diaz,11/ 2/2019,2,0,112,43,179,104,.62,.41,114,125,184,194,1,0,1,2,1,.0,0,0,0,0,0,0
Kamaru Usman,Colby Covington,12/14/2019,2,0,175,143,360,395,.48,.36,175,143,360,395,0,0,0,0,.0,.0,0,0,0,0,0,0
Conor McGregor,Donald Cerrone,1/18/2020,1,0,19,0,26,1,.73,.0,20,0,27,1,0,0,0,0,.0,.0,0,0,0,0,0,0
Jon Jones,Dominick Reyes,2/ 8/2020,0,0,104,116,166,259,.62,.44,107,119,170,263,2,0,9,0,.22,.0,0,0,0,0,0,0
Israel Adesanya,Yoel Romero,3/ 7/2020,0,0,48,40,132,89,.36,.44,48,40,132,89,0,0,0,3,.0,.0,0,0,0,0,0,0
Tony Ferguson,Justin Gaethje,5/ 9/2020,0,0,136,143,296,197,.45,.72,136,143,296,197,0,0,0,0,.0,.0,0,0,0,0,0,0
Tito Ortiz,Wanderlei Silva,4/14/2000,1,0,20,10,43,27,.46,.37,131,170,163,191,4,0,6,1,.66,.0,0,0,2,0,0,0
Amanda Nunes,Felicia Spencer,6/ 6/2020,0,0,124,42,214,130,.57,.32,132,70,222,161,6,0,7,7,.85,.0,1,0,5,0,0,0
Kamaru Usman,Jorge Masvidal,7/11/2020,0,0,94,66,151,125,.62,.52,263,88,341,157,5,0,16,0,.31,.0,0,0,2,0,0,0
Kevin Randleman,Pedro Rizzo,6/ 9/2000,0,0,17,12,52,57,.32,.21,33,16,70,63,2,0,4,0,.50,.0,2,0,1,0,0,0
Pedro Rizzo,Dan Severn,9/22/2000,1,0,2,0,7,3,.28,.0,2,1,7,4,0,0,0,1,.0,.0,0,0,0,0,0,0
Randy Couture,Kevin Randleman,11/17/2000,0,0,28,15,41,19,.68,.78,71,47,85,51,1,2,1,2,1,1,1,1,1,0,0,0
Tito Ortiz,Yuki Kondo,12/16/2000,0,1,16,2,22,4,.72,.50,31,2,40,4,2,0,2,0,1,.0,2,0,0,0,0,0
Steve Jennum,Harold Howard,9/ 9/1994,0,0,6,2,11,6,.54,.33,7,3,13,7,1,0,1,0,1,.0,0,1,3,0,0,0
Tito Ortiz,Evan Tanner,2/23/2001,0,0,7,0,7,1,1,.0,7,0,7,1,1,0,1,0,1,.0,0,0,0,0,0,0
Randy Couture,Pedro Rizzo,5/ 4/2001,0,1,69,42,118,108,.58,.38,147,76,197,144,3,0,15,0,.20,.0,0,0,2,0,0,0
Tito Ortiz,Elvis Sinosic,6/29/2001,0,0,35,3,59,8,.59,.37,58,12,82,18,1,0,1,0,1,.0,0,0,0,0,0,0
Tito Ortiz,Vladimir Matyushenko,9/28/2001,0,0,64,19,84,49,.76,.38,248,103,269,138,5,1,9,6,.55,.16,0,0,2,0,0,0
Randy Couture,Pedro Rizzo,11/ 2/2001,0,0,41,13,52,34,.78,.38,98,20,111,42,3,1,5,1,.60,1,0,0,1,0,0,0
Jens Pulver,BJ Penn,1/11/2002,0,0,38,49,98,93,.38,.52,122,161,186,210,1,7,1,10,1,.70,0,2,3,2,4,0
Josh Barnett,Randy Couture,3/22/2002,0,0,44,18,75,21,.58,.85,53,33,85,37,0,1,0,3,.0,.33,1,0,1,3,0,0
Murilo Bustamante,Matt Lindland,5/10/2002,1,0,17,35,40,66,.42,.53,39,82,62,113,2,0,2,3,1,.0,2,1,3,0,0,1
Chuck Liddell,Vitor Belfort,6/22/2002,1,0,43,20,78,42,.55,.47,59,26,95,49,0,3,0,4,.0,.75,0,0,0,2,0,0
Matt Hughes,Carlos Newton,7/13/2002,0,0,58,3,77,9,.75,.33,104,8,123,14,4,0,6,1,.66,.0,1,1,12,1,0,1
Ricco Rodriguez,Randy Couture,9/27/2002,0,0,39,39,80,78,.48,.50,128,75,172,114,4,5,5,5,.80,1,1,0,3,3,0,1
Royce Gracie,Dan Severn,12/16/1994,0,0,0,4,4,7,.0,.57,80,27,84,43,0,1,0,1,.0,1,3,0,0,0,0,0
Tito Ortiz,Ken Shamrock,11/22/2002,0,0,74,12,126,44,.58,.27,155,48,214,84,3,0,5,1,.60,.0,1,0,3,0,0,0
Tim Sylvia,Ricco Rodriguez,2/28/2003,1,0,12,7,25,10,.48,.70,15,10,28,13,0,0,0,2,.0,.0,0,1,0,0,0,0
Matt Hughes,Sean Sherk,4/25/2003,0,0,44,19,88,39,.50,.48,96,144,140,167,5,3,7,5,.71,.60,1,1,10,2,0,0
Randy Couture,Chuck Liddell,6/ 6/2003,0,0,46,22,87,59,.52,.37,56,35,99,72,4,0,5,1,.80,.0,1,0,3,0,0,1
Randy Couture,Tito Ortiz,9/26/2003,0,0,88,16,136,30,.64,.53,194,34,244,48,8,2,12,6,.66,.33,0,0,9,0,0,0
Matt Hughes,Frank Trigg,11/21/2003,0,0,0,0,0,3,.0,.0,0,1,0,4,1,1,1,1,1,1,2,1,2,0,1,1
Vitor Belfort,Randy Couture,1/31/2004,0,0,1,1,1,2,1,.50,1,1,1,2,0,0,0,0,.0,.0,0,0,0,0,0,0
Chuck Liddell,Tito Ortiz,4/ 2/2004,1,0,23,13,65,32,.35,.40,23,13,65,32,0,0,0,2,.0,.0,0,0,0,0,0,0
Ken Shamrock,Kimo Leopoldo,6/19/2004,1,0,12,4,15,5,.80,.80,14,4,17,6,0,0,0,0,.0,.0,0,0,0,0,0,0
Randy Couture,Vitor Belfort,8/21/2004,0,0,50,3,71,6,.70,.50,131,10,154,13,2,0,4,0,.50,.0,0,2,1,0,0,0
Dan Severn,Dave Beneteau,4/ 7/1995,0,0,2,2,3,6,.66,.33,11,5,13,10,1,0,1,0,1,.0,1,0,1,0,0,0
Tito Ortiz,Patrick Cote,10/22/2004,0,0,45,11,75,27,.60,.40,166,26,202,42,2,0,3,1,.66,.0,0,0,3,0,0,0
Tito Ortiz,Vitor Belfort,2/ 5/2005,0,0,27,19,47,38,.57,.50,101,44,130,65,4,0,11,0,.36,.0,0,1,3,1,0,1
Chuck Liddell,Randy Couture,4/16/2005,1,0,13,9,26,24,.50,.37,15,9,28,24,0,0,0,0,.0,.0,0,0,0,0,0,0
Andrei Arlovski,Justin Eilers,6/ 4/2005,0,0,33,5,56,21,.58,.23,33,7,56,23,0,0,0,1,.0,.0,0,0,0,0,0,0
Chuck Liddell,Jeremy Horn,8/20/2005,2,0,64,31,191,87,.33,.35,64,31,191,87,0,0,0,8,.0,.0,0,0,0,0,0,0
Andrei Arlovski,Paul Buentello,10/ 7/2005,1,0,2,1,6,3,.33,.33,2,1,6,3,0,0,0,0,.0,.0,0,0,0,0,0,0
Rich Franklin,Nate Quarry,11/19/2005,2,0,13,4,34,20,.38,.20,15,4,36,20,0,0,0,0,.0,.0,0,0,0,0,0,0
Chuck Liddell,Randy Couture,2/ 4/2006,1,0,19,7,51,24,.37,.29,27,7,59,24,0,1,0,3,.0,.33,0,0,0,0,0,0
Rich Franklin,David Loiseau,3/ 4/2006,2,1,127,21,244,72,.52,.29,211,26,339,78,5,1,6,1,.83,1,0,0,8,0,1,0
Tim Sylvia,Andrei Arlovski,4/15/2006,1,1,13,11,30,24,.43,.45,13,12,30,26,0,0,0,0,.0,.0,0,0,0,0,0,0
Oleg Taktarov,David Abbott,7/14/1995,0,0,4,17,10,45,.40,.37,48,39,59,71,0,2,3,3,.0,.66,4,1,1,1,0,0
Matt Hughes,Royce Gracie,5/27/2006,0,0,32,7,40,11,.80,.63,33,14,41,18,1,0,1,0,1,.0,1,0,4,0,0,0
Tim Sylvia,Andrei Arlovski,7/ 8/2006,0,0,97,66,263,327,.36,.20,99,68,265,330,0,0,0,1,.0,.0,0,0,0,0,0,0
Chuck Liddell,Renato Sobral,8/26/2006,2,0,17,1,25,9,.68,.11,17,1,25,9,0,0,0,0,.0,.0,0,0,0,0,0,0
Matt Hughes,BJ Penn,9/23/2006,0,0,35,17,88,37,.39,.45,77,49,133,70,1,0,9,1,.11,.0,0,2,2,1,0,1
Anderson Silva,Rich Franklin,10/14/2006,1,0,31,10,36,23,.86,.43,31,13,36,26,0,0,0,0,.0,.0,0,0,0,0,0,0
Georges St-Pierre,Matt Hughes,11/18/2006,2,0,45,10,92,39,.48,.25,49,10,96,39,1,0,1,3,1,.0,0,0,1,0,0,0
Chuck Liddell,Tito Ortiz,12/30/2006,1,0,49,21,132,76,.37,.27,51,21,138,76,0,1,0,8,.0,.12,0,0,0,0,0,0
Anderson Silva,Travis Lutter,2/ 3/2007,0,0,9,8,11,16,.81,.50,28,14,33,22,0,3,0,5,.0,.60,2,0,0,2,1,0
Randy Couture,Tim Sylvia,3/ 3/2007,1,0,73,25,138,106,.52,.23,138,39,205,123,7,0,10,0,.70,.0,0,0,7,0,0,0
Matt Serra,Georges St-Pierre,4/ 7/2007,2,0,20,6,40,23,.50,.26,20,6,40,23,0,0,0,1,.0,.0,0,0,1,0,0,0
Marco Ruas,Paul Varelans,9/ 8/1995,1,0,33,10,59,30,.55,.33,54,36,84,63,0,0,0,0,.0,.0,0,1,1,0,0,0
Gabriel Gonzaga,Mirko Filipovic,4/21/2007,1,0,19,1,46,3,.41,.33,31,4,58,6,1,0,1,0,1,.0,0,0,0,0,0,0
Quinton Jackson,Chuck Liddell,5/26/2007,1,0,6,4,8,11,.75,.36,6,4,8,11,0,0,0,0,.0,.0,0,0,0,0,0,0
Rich Franklin,Yushin Okami,6/16/2007,0,0,36,17,102,59,.35,.28,42,34,110,78,1,1,3,2,.33,.50,0,3,1,2,0,0
Kenny Florian,Alvin Robinson,7/ 7/2007,0,0,20,6,32,16,.62,.37,51,15,67,27,3,1,5,1,.60,1,0,0,6,0,0,0
Randy Couture,Gabriel Gonzaga,8/25/2007,0,0,63,11,87,38,.72,.28,82,12,106,39,3,0,10,1,.30,.0,0,1,1,0,0,0
Quinton Jackson,Dan Henderson,9/ 8/2007,1,0,74,60,108,95,.68,.63,185,94,222,135,2,3,3,8,.66,.37,0,3,7,3,0,1
Keith Jardine,Chuck Liddell,9/22/2007,1,0,83,31,176,138,.47,.22,83,31,176,138,0,0,0,0,.0,.0,0,0,0,0,0,0
Anderson Silva,Rich Franklin,10/20/2007,3,0,39,22,47,56,.82,.39,40,23,49,58,0,1,1,2,.0,.50,0,0,0,0,0,0
Rashad Evans,Michael Bisping,11/17/2007,0,0,23,40,87,96,.26,.41,38,52,108,112,6,2,16,2,.37,1,0,0,4,0,0,0
Georges St-Pierre,Matt Hughes,12/29/2007,0,0,28,5,40,13,.70,.38,97,10,117,19,3,0,3,3,1,.0,3,0,11,0,0,0
Don Frye,Gary Goodridge,2/16/1996,0,0,12,2,21,6,.57,.33,27,2,37,6,0,1,0,3,.0,.33,0,0,1,0,1,0
BJ Penn,Joe Stevenson,1/19/2008,2,0,41,17,69,36,.59,.47,71,33,105,57,0,0,0,0,.0,.0,1,0,5,0,0,0
Antonio Rodrigo Nogueira,Tim Sylvia,2/ 2/2008,0,1,28,53,70,131,.40,.40,40,87,85,167,2,0,11,0,.18,.0,1,0,1,2,1,0
Anderson Silva,Dan Henderson,3/ 1/2008,0,0,47,20,59,40,.79,.50,74,52,88,75,0,1,0,3,.0,.33,1,0,2,2,0,0
Georges St-Pierre,Matt Serra,4/19/2008,0,0,42,3,54,18,.77,.16,129,10,143,25,4,0,5,0,.80,.0,0,0,11,0,0,0
BJ Penn,Sean Sherk,5/24/2008,1,0,122,46,175,162,.69,.28,130,52,183,169,0,0,1,2,.0,.0,0,0,0,0,0,0
Thiago Alves,Matt Hughes,6/ 7/2008,1,0,10,9,16,13,.62,.69,24,18,31,22,1,1,1,7,1,.14,0,0,1,3,0,0
Forrest Griffin,Quinton Jackson,7/ 5/2008,0,1,77,50,276,138,.27,.36,113,73,326,163,0,0,1,1,.0,.0,3,0,3,0,0,0
Georges St-Pierre,Jon Fitch,8/ 9/2008,3,0,131,37,226,132,.57,.28,203,96,303,193,7,0,9,6,.77,.0,1,0,7,0,1,0
Rashad Evans,Chuck Liddell,9/ 6/2008,1,0,13,10,35,50,.37,.20,13,10,35,50,0,0,0,0,.0,.0,0,0,0,0,0,0
Michael Bisping,Chris Leben,10/18/2008,0,0,70,51,160,164,.43,.31,77,62,167,176,1,1,3,2,.33,.50,0,0,0,0,0,0
Dan Severn,Ken Shamrock,5/17/1996,0,0,16,18,75,81,.21,.22,32,59,94,122,0,0,2,1,.0,.0,0,0,0,1,1,0
Anderson Silva,Patrick Cote,10/25/2008,0,0,29,16,40,49,.72,.32,32,18,46,51,1,0,1,3,1,.0,0,0,0,0,0,0
Brock Lesnar,Randy Couture,11/15/2008,1,0,31,11,42,19,.73,.57,68,17,79,25,2,1,4,3,.50,.33,0,0,2,0,0,0
Rashad Evans,Forrest Griffin,12/27/2008,0,0,49,50,103,149,.47,.33,51,51,105,151,1,0,1,0,1,.0,0,0,1,0,0,0
Dan Henderson,Rich Franklin,1/17/2009,0,0,36,39,88,96,.40,.40,43,47,96,106,4,0,6,0,.66,.0,0,0,2,0,0,0
Georges St-Pierre,BJ Penn,1/31/2009,0,0,92,16,122,37,.75,.43,310,63,358,85,4,0,7,1,.57,.0,0,0,10,0,0,0
Diego Sanchez,Joe Stevenson,2/21/2009,0,0,91,41,193,145,.47,.28,91,43,193,147,1,0,4,4,.25,.0,1,1,1,0,0,1
Quinton Jackson,Keith Jardine,3/ 7/2009,2,0,56,64,151,184,.37,.34,80,65,176,185,2,0,3,3,.66,.0,0,0,1,0,0,0
Anderson Silva,Thales Leites,4/18/2009,0,0,94,10,139,54,.67,.18,106,18,155,64,0,1,0,14,.0,.7,0,0,0,1,0,0
Lyoto Machida,Rashad Evans,5/23/2009,3,0,28,4,46,24,.60,.16,37,5,58,26,0,0,2,0,.0,.0,0,0,0,0,0,0
Rich Franklin,Wanderlei Silva,6/13/2009,0,0,52,38,150,137,.34,.27,67,55,167,157,1,1,2,1,.50,1,0,0,2,0,0,0
Josh Koscheck,Josh Koscheck,12/10/2008,1,0,6,6,16,17,.37,.35,6,6,16,17,0,0,0,0,.0,.0,0,0,0,0,0,0
Nate Marquardt,Ivan Salaverry,8/ 6/2005,0,0,21,23,63,66,.33,.34,27,46,70,89,2,0,2,3,1,.0,2,0,0,0,0,0
David Loiseau,Evan Tanner,10/ 3/2005,0,0,13,15,34,24,.38,.62,16,61,37,86,0,3,0,4,.0,.75,0,2,0,8,2,0
Tim Sylvia,Assuerio Silva,1/16/2006,0,0,85,36,224,79,.37,.45,137,43,276,86,0,0,0,5,.0,.0,0,0,0,0,0,0
Stephan Bonnar,Keith Jardine,4/ 6/2006,1,0,33,64,93,118,.35,.54,52,90,113,146,1,0,6,1,.16,.0,1,0,1,0,0,0
Jonathan Goulet,Luke Cummo,6/28/2006,0,2,18,13,34,21,.52,.61,65,30,87,40,6,0,9,0,.66,.0,0,3,11,3,1,0
Mauricio Rua,Ovince Saint Preux,11/ 8/2014,0,1,2,9,3,15,.66,.60,2,9,3,15,0,0,0,0,.0,.0,0,0,0,0,0,0
Diego Sanchez,Karo Parisyan,8/17/2006,0,0,66,36,108,92,.61,.39,118,78,171,139,3,9,3,10,1,.90,1,0,6,1,1,0
Thomas Almeida,Cody Garbrandt,5/29/2016,0,1,10,21,25,48,.40,.43,10,22,25,49,0,0,0,0,.0,.0,0,0,0,0,0,0
Eddie Alvarez,Dustin Poirier,7/28/2018,0,1,26,54,76,115,.34,.46,35,76,88,138,0,0,3,0,.0,.0,1,2,1,0,0,0
Corey Anderson,Jan Blachowicz,2/15/2020,0,1,11,13,27,31,.40,.41,11,13,27,31,0,0,0,0,.0,.0,0,0,0,0,0,0
Jessica Andrade,Weili Zhang,8/31/2019,0,1,4,29,12,38,.33,.76,4,29,12,38,0,0,0,0,.0,.0,0,0,0,0,0,0
Andrei Arlovski,Josh Barnett,9/ 3/2016,0,0,38,53,62,82,.61,.64,51,112,77,150,1,1,2,2,.50,.50,0,1,1,6,0,1
Raphael Assuncao,Marlon Moraes,2/ 2/2019,0,1,2,10,12,23,.16,.43,3,12,13,25,0,0,0,0,.0,.0,0,1,0,2,0,0
Ryan Bader,Rogerio Nogueira,11/19/2016,0,0,86,3,116,12,.74,.25,129,12,164,23,5,0,5,0,1,.0,1,0,9,0,0,0
Ryan Bader,Ovince Saint Preux,8/16/2014,0,0,24,24,72,91,.33,.26,77,30,137,97,9,2,21,2,.42,1,1,0,5,1,0,0
Edson Barboza,Justin Gaethje,3/30/2019,0,1,13,20,32,35,.40,.57,13,22,32,37,0,0,0,0,.0,.0,0,0,0,0,0,0
Edson Barboza,Kevin Lee,4/21/2018,0,0,51,142,106,241,.48,.58,64,233,119,344,0,4,1,9,.0,.44,0,0,0,11,0,0
Josh Barnett,Roy Nelson,9/26/2015,0,0,146,60,205,114,.71,.52,215,92,276,149,0,4,0,10,.0,.40,0,0,0,2,0,0
Mauricio Rua,Gian Villante,3/11/2017,2,0,94,55,173,151,.54,.36,94,55,174,151,2,0,3,1,.66,.0,0,0,0,0,0,0
Vitor Belfort,Dan Henderson,11/ 9/2013,2,0,12,1,17,2,.70,.50,13,1,18,2,0,0,0,0,.0,.0,0,0,0,0,0,0
Vitor Belfort,Dan Henderson,11/ 7/2015,1,0,6,3,11,3,.54,1,6,3,11,3,0,0,0,0,.0,.0,0,0,0,0,0,0
Joseph Benavidez,Deiveson Figueiredo,2/29/2020,0,1,46,25,94,49,.48,.51,46,25,94,49,0,1,2,1,.0,1,0,1,0,0,0,0
Dennis Bermudez,Chan Sung Jung,2/ 4/2017,0,1,20,17,34,35,.58,.48,24,19,38,37,0,0,3,1,.0,.0,0,0,0,0,0,0
Antonio Silva,Andrei Arlovski,9/13/2014,0,1,6,13,13,33,.46,.39,6,14,13,34,0,0,0,0,.0,.0,0,0,0,0,0,0
Antonio Silva,Frank Mir,2/22/2015,0,1,1,10,3,18,.33,.55,1,10,3,18,0,0,0,0,.0,.0,0,0,0,0,0,0
Michael Bisping,Kelvin Gastelum,11/25/2017,0,1,7,14,24,27,.29,.51,7,14,24,27,0,0,0,0,.0,.0,0,0,0,0,0,0
Michael Bisping,Tim Kennedy,4/16/2014,0,0,40,51,137,106,.29,.48,53,76,151,141,0,5,0,11,.0,.45,0,0,0,11,0,0
Michael Bisping,Cung Le,8/23/2014,1,0,92,38,270,110,.34,.34,92,38,270,110,0,0,0,0,.0,.0,0,0,0,0,0,0
Michael Bisping,Thales Leites,7/18/2015,0,0,115,79,277,194,.41,.40,117,80,281,197,0,1,0,4,.0,.25,0,0,0,0,0,0
Jan Blachowicz,Jacare Souza,11/16/2019,0,0,71,20,170,48,.41,.41,105,56,205,88,0,0,0,5,.0,.0,0,0,0,0,0,0
Jan Blachowicz,Thiago Santos,2/23/2019,0,1,20,52,53,104,.37,.50,20,52,53,104,0,1,1,1,.0,1,0,0,0,1,0,0
Curtis Blaydes,Junior Dos Santos,1/25/2020,0,0,28,7,60,30,.46,.23,29,7,62,30,0,0,6,0,.0,.0,0,0,0,0,0,0
Curtis Blaydes,Francis Ngannou,11/24/2018,0,1,1,13,8,17,.12,.76,1,13,8,17,0,0,2,0,.0,.0,0,0,0,0,0,0
Curtis Blaydes,Alexander Volkov,6/20/2020,0,0,69,31,99,77,.69,.40,116,127,163,177,14,1,25,2,.56,.50,0,0,3,0,0,0
Tim Boetsch,Dan Henderson,6/ 6/2015,0,1,3,12,6,15,.50,.80,3,12,6,15,0,0,0,0,.0,.0,0,0,0,0,0,0
Matt Brown,Erick Silva,5/10/2014,0,1,118,25,166,54,.71,.46,161,39,213,71,5,0,5,3,1,.0,4,1,2,1,0,0
Derek Brunson,Lyoto Machida,10/28/2017,1,0,10,3,24,10,.41,.30,10,3,24,10,0,0,0,0,.0,.0,0,0,0,0,0,0
Henry Cejudo,TJ Dillashaw,1/19/2019,1,0,18,1,23,3,.78,.33,18,1,23,3,0,0,0,0,.0,.0,0,0,0,0,0,0
Donald Cerrone,Yancy Medeiros,2/18/2018,3,0,28,25,57,79,.49,.31,28,26,57,80,0,0,1,0,.0,.0,0,0,0,0,0,0
Donald Cerrone,Darren Till,10/21/2017,0,1,14,24,24,55,.58,.43,14,24,24,55,1,0,2,0,.50,.0,0,0,0,0,0,0
Michael Chiesa,Kevin Lee,6/25/2017,0,0,4,22,9,30,.44,.73,9,37,14,45,0,1,0,1,.0,1,0,1,0,1,0,0
Carlos Condit,Thiago Alves,5/30/2015,1,0,75,34,162,69,.46,.49,107,35,200,70,2,0,3,0,.66,.0,0,1,5,0,0,0
Carlos Condit,Martin Kampmann,8/28/2013,1,0,100,35,235,97,.42,.36,147,43,282,108,0,6,2,15,.0,.40,2,0,2,1,1,0
Martin Kampmann,Carlos Condit,4/ 1/2009,0,0,26,35,61,86,.42,.40,52,71,91,124,5,3,5,4,1,.75,6,3,3,4,2,0
Colby Covington,Robbie Lawler,8/ 3/2019,0,0,179,78,515,167,.34,.46,201,82,541,171,10,0,18,0,.55,.0,0,0,0,0,0,0
Donald Cerrone,Alex Oliveira,2/21/2016,0,0,4,14,6,24,.66,.58,7,17,10,27,1,0,2,0,.50,.0,1,0,2,0,0,0
Donald Cerrone,Leon Edwards,6/23/2018,0,0,60,84,131,166,.45,.50,64,101,136,185,1,0,9,4,.11,.0,0,0,1,0,0,0
Donald Cerrone,Justin Gaethje,9/14/2019,0,1,17,40,52,61,.32,.65,17,40,52,61,0,0,0,0,.0,.0,0,0,0,0,0,0
Donald Cerrone,Jim Miller,7/16/2014,1,0,37,30,78,65,.47,.46,41,34,82,69,0,1,2,6,.0,.16,0,0,0,0,0,0
Cristiane Justino,Lina Lansberg,9/24/2016,0,0,84,14,127,23,.66,.60,100,24,144,35,2,0,2,1,1,.0,0,0,4,0,0,0
Germaine de Randamie,Aspen Ladd,7/13/2019,1,0,4,0,5,4,.80,.0,4,0,5,4,0,0,0,0,.0,.0,0,0,0,0,0,0
Nate Diaz,Melvin Guillard,9/16/2009,0,1,21,11,73,42,.28,.26,27,12,79,43,2,3,2,3,1,1,2,0,0,0,0,0
Nate Diaz,Josh Neer,9/17/2008,0,0,40,26,72,50,.55,.52,114,48,157,74,5,4,11,8,.45,.50,0,4,5,2,0,0
TJ Dillashaw,Dominick Cruz,1/17/2016,0,0,109,112,408,302,.26,.37,130,122,430,312,1,4,8,11,.12,.36,0,0,0,0,0,0
Rafael Dos Anjos,Eddie Alvarez,7/ 7/2016,0,0,12,45,41,78,.29,.57,12,49,41,83,0,1,1,3,.0,.33,0,0,0,0,0,0
Rafael Dos Anjos,Leon Edwards,7/20/2019,0,0,81,92,169,215,.47,.42,129,113,219,244,0,3,5,10,.0,.30,0,0,0,2,0,0
Rafael Dos Anjos,Tony Ferguson,11/ 5/2016,0,0,121,199,276,401,.43,.49,126,200,281,402,0,0,5,2,.0,.0,0,0,0,0,0,0
Rafael Dos Anjos,Kevin Lee,5/18/2019,0,0,60,35,111,97,.54,.36,75,40,126,102,4,6,7,16,.57,.37,1,0,4,1,1,0
Junior Dos Santos,Blagoy Ivanov,7/14/2018,0,0,110,51,248,229,.44,.22,110,51,248,229,0,0,1,0,.0,.0,0,0,0,0,0,0
Junior Dos Santos,Tai Tuivasa,12/ 1/2018,1,0,26,16,65,42,.40,.38,37,16,77,46,0,0,0,0,.0,.0,0,0,2,0,0,0
Frankie Edgar,Urijah Faber,5/16/2015,0,0,83,48,258,147,.32,.32,91,50,266,149,5,0,13,3,.38,.0,0,0,2,0,0,0
Frankie Edgar,Cub Swanson,11/22/2014,0,0,93,31,202,86,.46,.36,259,62,405,119,7,0,13,0,.53,.0,2,0,16,0,0,0
Frankie Edgar,Chan Sung Jung,12/21/2019,0,1,9,46,14,60,.64,.76,9,79,14,97,0,0,2,0,.0,.0,0,0,0,1,0,0
Josh Emmett,Jeremy Stephens,2/24/2018,1,1,18,24,40,57,.45,.42,21,24,43,57,0,0,0,0,.0,.0,0,0,0,0,0,0
Rashad Evans,Sean Salmon,1/25/2007,1,0,13,10,35,28,.37,.35,13,15,35,33,0,2,0,3,.0,.66,0,0,0,2,0,0
Jessica Eye,Cynthia Calvillo,6/13/2020,0,0,70,113,280,237,.25,.47,70,150,283,294,0,4,0,7,.0,.57,0,0,0,8,0,0
Paul Felder,Dan Hooker,2/22/2020,0,0,110,122,230,221,.47,.55,119,133,243,234,0,1,1,5,.0,.20,0,0,0,1,0,0
Melvin Guillard,Evan Dunham,1/22/2011,2,0,17,2,33,10,.51,.20,28,2,44,10,0,1,0,6,.0,.16,0,0,0,0,0,0
Tim Kennedy,Rafael Natal,11/ 6/2013,1,0,13,13,31,35,.41,.37,13,13,31,35,0,0,0,1,.0,.0,0,0,0,0,0,0
Kenny Florian,Takanori Gomi,3/31/2010,0,0,51,20,186,116,.27,.17,74,20,210,116,1,0,2,1,.50,.0,1,0,3,0,0,0
Kenny Florian,Joe Lauzon,4/ 2/2008,0,0,35,5,74,12,.47,.41,115,9,165,16,2,2,4,3,.50,.66,0,2,3,1,0,0
Justin Gaethje,James Vick,8/25/2018,1,0,7,10,15,20,.46,.50,7,11,15,21,0,0,0,0,.0,.0,0,0,0,0,0,0
Gabriel Gonzaga,Mirko Filipovic,4/11/2015,0,0,19,21,47,46,.40,.45,46,32,75,59,2,0,7,1,.28,.0,1,0,4,0,0,0
