R_fighter,B_fighter,finish,finish_details,date
Chris Gutierrez,Geraldo de Freitas,S-DEC,,8/10/2019
Alex Da Silva,Kazula Vargas,U-DEC,,8/10/2019
Veronica Macedo,Polyana Viana,SUB,Armbar,8/10/2019
Colby Covington,Robbie Lawler,U-DEC,,8/3/2019
Jim Miller,Clay Guida,SUB,Guillotine Choke,8/3/2019
Nasrat Haqparast,Joaquim Silva,KO/TKO,Punch,8/3/2019
Gerald Meerschaert,Trevin Giles,SUB,Guillotine Choke,8/3/2019
Scott Holtzman,Dong Hyun Ma,KO/TKO,,8/3/2019
Kennedy Nzechukwu,Darko Stosic,U-DEC,,8/3/2019
Mickey Gall,Salim Touahri,U-DEC,,8/3/2019
Antonina Shevchenko,Lucie Pudilova,SUB,Rear Naked Choke,8/3/2019
Matt Schnell,Jordan Espinosa,SUB,Triangle Choke,8/3/2019
Lauren Murphy,Mara Romero Borella,KO/TKO,Knee,8/3/2019
Claudio Silva,Cole Williams,SUB,Neck Crank,8/3/2019
Miranda Granger,Hannah Goldy,U-DEC,,8/3/2019
Max Holloway,Frankie Edgar,U-DEC,,7/27/2019
Cristiane Justino,Felicia Spencer,U-DEC,,7/27/2019
Geoff Neal,Niko Price,KO/TKO,Punches,7/27/2019
Arman Tsarukyan,Olivier Aubin-Mercier,U-DEC,,7/27/2019
Krzysztof Jotko,Marc-Andre Barriault,S-DEC,,7/27/2019
Viviane Araujo,Alexis Davis,U-DEC,,7/27/2019
Hakeem Dawodu,Yoshinori Horie,KO/TKO,Kick,7/27/2019
Gavin Tucker,SeungWoo Choi,SUB,Rear Naked Choke,7/27/2019
Deiveson Figueiredo,Alexandre Pantoja,U-DEC,,7/27/2019
Gillian Robertson,Sarah Frota,KO/TKO,Elbows,7/27/2019
Erik Koch,Kyle Stewart,U-DEC,,7/27/2019
Leon Edwards,Rafael Dos Anjos,U-DEC,,7/20/2019
Walt Harris,Aleksei Oleinik,KO/TKO,Punch,7/20/2019
Greg Hardy,Juan Adams,KO/TKO,Punches,7/20/2019
Dan Hooker,James Vick,KO/TKO,Punch,7/20/2019
Alexander Hernandez,Francisco Trinaldo,U-DEC,,7/20/2019
Andrei Arlovski,Ben Rothwell,U-DEC,,7/20/2019
Alex Caceres,Steven Peterson,U-DEC,,7/20/2019
Raquel Pennington,Irene Aldana,S-DEC,,7/20/2019
Klidson Abreu,Sam Alvey,U-DEC,,7/20/2019
Jennifer Maia,Roxanne Modafferi,U-DEC,,7/20/2019
Ray Borg,Gabriel Silva,U-DEC,,7/20/2019
Mario Bautista,Jin Soo Son,U-DEC,,7/20/2019
Felipe Colares,Domingo Pilarte,S-DEC,,7/20/2019
Germaine de Randamie,Aspen Ladd,KO/TKO,Punch,7/13/2019
Urijah Faber,Ricky Simon,KO/TKO,Punch,7/13/2019
Josh Emmett,Mirsad Bektic,KO/TKO,Punches,7/13/2019
Karl Roberson,Wellington Turman,S-DEC,,7/13/2019
Marvin Vettori,Cezar Ferreira,U-DEC,,7/13/2019
Mike Rodriguez,John Allan,Overturned,,7/13/2019
Andre Fili,Sheymon Moraes,KO/TKO,Punch,7/13/2019
Julianna Pena,Nicco Montano,U-DEC,,7/13/2019
Ryan Hall,Darren Elkins,U-DEC,,7/13/2019
Jonathan Martinez,Liu Pingyuan,KO/TKO,Knee,7/13/2019
Brianna Van Buren,Livinha Souza,U-DEC,,7/13/2019
Benito Lopez,Vince Morales,U-DEC,,7/13/2019
Jon Jones,Thiago Santos,S-DEC,,7/6/2019
Amanda Nunes,Holly Holm,KO/TKO,Kick,7/6/2019
Jorge Masvidal,Ben Askren,KO/TKO,Flying Knee,7/6/2019
Jan Blachowicz,Luke Rockhold,KO/TKO,Punch,7/6/2019
Michael Chiesa,Diego Sanchez,U-DEC,,7/6/2019
Arnold Allen,Gilbert Melendez,U-DEC,,7/6/2019
Marlon Vera,Nohelin Hernandez,SUB,Rear Naked Choke,7/6/2019
Claudia Gadelha,Randa Markos,U-DEC,,7/6/2019
Song Yadong,Alejandro Perez,KO/TKO,Punch,7/6/2019
Edmen Shahbazyan,Jack Marshman,SUB,Rear Naked Choke,7/6/2019
Chance Rencountre,Ismail Naurdiev,U-DEC,,7/6/2019
Julia Avila,Pannie Kianzad,U-DEC,,7/6/2019
Francis Ngannou,Junior Dos Santos,KO/TKO,Punch,6/29/2019
Joseph Benavidez,Jussier Formiga,KO/TKO,Punches,6/29/2019
Demian Maia,Anthony Rocco Martin,M-DEC,,6/29/2019
Vinc Pichel,Roosevelt Roberts,U-DEC,,6/29/2019
Drew Dober,Marco Polo Reyes,KO/TKO,Punches,6/29/2019
Alonzo Menifield,Paul Craig,KO/TKO,Punch,6/29/2019
Ricardo Ramos,Journey Newson,U-DEC,,6/29/2019
Eryk Anders,Vinicius Moreira,KO/TKO,Punch,6/29/2019
Jared Gordon,Dan Moret,U-DEC,,6/29/2019
Dalcha Lungiambula,Dequan Townsend,KO/TKO,Punch,6/29/2019
Amanda Ribas,Emily Whitmire,SUB,Rear Naked Choke,6/29/2019
Maurice Greene,Junior Albini,KO/TKO,Punch,6/29/2019
Chan Sung Jung,Renato Moicano,KO/TKO,Punch,6/22/2019
Randy Brown,Bryan Barberena,KO/TKO,Kick,6/22/2019
Andre Ewell,Anderson Dos Santos,U-DEC,,6/22/2019
Andrea Lee,Montana De La Rosa,U-DEC,,6/22/2019
Kevin Holland,Alessio Di Chirico,U-DEC,,6/22/2019
Dan Ige,Kevin Aguilar,U-DEC,,6/22/2019
Ashley Yoder,Syuri Kondo,U-DEC,,6/22/2019
Luis Pena,Matt Wiman,KO/TKO,Punches,6/22/2019
Jairzinho Rozenstruik,Allen Crowder,KO/TKO,Punches,6/22/2019
Molly McCann,Ariane Lipski,U-DEC,,6/22/2019
Deron Winn,Eric Spicely,U-DEC,,6/22/2019
Henry Cejudo,Marlon Moraes,KO/TKO,Punches,6/8/2019
Valentina Shevchenko,Jessica Eye,KO/TKO,Kick,6/8/2019
Tony Ferguson,Donald Cerrone,KO/TKO,,6/8/2019
Petr Yan,Jimmie Rivera,U-DEC,,6/8/2019
Blagoy Ivanov,Tai Tuivasa,U-DEC,,6/8/2019
Tatiana Suarez,Nina Ansaroff,U-DEC,,6/8/2019
Aljamain Sterling,Pedro Munhoz,U-DEC,,6/8/2019
Alexa Grasso,Karolina Kowalkiewicz,U-DEC,,6/8/2019
Calvin Kattar,Ricardo Lamas,KO/TKO,Punch,6/8/2019
Xiaonan Yan,Angela Hill,U-DEC,,6/8/2019
Darren Stewart,Bevon Lewis,U-DEC,,6/8/2019
Eddie Wineland,Grigory Popov,KO/TKO,Punch,6/8/2019
Katlyn Chookagian,Joanne Calderwood,U-DEC,,6/8/2019
Anthony Smith,Alexander Gustafsson,SUB,Rear Naked Choke,6/1/2019
Aleksandar Rakic,Jimi Manuwa,KO/TKO,Kick,6/1/2019
Makwan Amirkhani,Chris Fishgold,SUB,Anaconda Choke,6/1/2019
Christos Giagos,Damir Hadzovic,U-DEC,,6/1/2019
Daniel Teymur,Sung Bin Jo,U-DEC,,6/1/2019
Sergey Khandozhko,Rostem Akman,U-DEC,,6/1/2019
Lina Lansberg,Tonya Evinger,U-DEC,,6/1/2019
Leonardo Santos,Stevie Ray,KO/TKO,Punch,6/1/2019
Frank Camacho,Nick Hein,KO/TKO,Punches,6/1/2019
Bea Malecki,Duda Santana,SUB,Rear Naked Choke,6/1/2019
Devin Clark,Darko Stosic,U-DEC,,6/1/2019
Joel Alvarez,Danilo Belluardo,KO/TKO,Punches,6/1/2019
Rafael Dos Anjos,Kevin Lee,SUB,Arm Triangle,5/18/2019
Ian Heinisch,Antonio Carlos Junior,U-DEC,,5/18/2019
Felicia Spencer,Megan Anderson,SUB,Rear Naked Choke,5/18/2019
Vicente Luque,Derrick Krantz,KO/TKO,Punch,5/18/2019
Charles Oliveira,Nik Lentz,KO/TKO,Punch,5/18/2019
Davi Ramos,Austin Hubbard,U-DEC,,5/18/2019
Aspen Ladd,Sijara Eubanks,U-DEC,,5/18/2019
Desmond Green,Charles Jourdain,U-DEC,,5/18/2019
Michel Pereira,Danny Roberts,KO/TKO,Flying Knee,5/18/2019
Grant Dawson,Michael Trizano,SUB,Rear Naked Choke,5/18/2019
Ed Herman,Patrick Cummins,KO/TKO,Knee,5/18/2019
Zak Cummings,Trevin Giles,SUB,Guillotine Choke,5/18/2019
Julio Arce,Julian Erosa,KO/TKO,Kick,5/18/2019
Jessica Andrade,Rose Namajunas,KO/TKO,Slam,5/11/2019
Jared Cannonier,Anderson Silva,KO/TKO,Kick,5/11/2019
Alexander Volkanovski,Jose Aldo,U-DEC,,5/11/2019
Laureano Staropoli,Thiago Alves,U-DEC,,5/11/2019
Irene Aldana,Bethe Correia,SUB,Armbar,5/11/2019
Ryan Spann,Rogerio Nogueira,KO/TKO,Punch,5/11/2019
Thiago Moises,Kurt Holobaugh,U-DEC,,5/11/2019
Warlley Alves,Sergio Moraes,KO/TKO,Punch,5/11/2019
Clay Guida,BJ Penn,U-DEC,,5/11/2019
Luana Carolina,Priscila Cachoeira,U-DEC,,5/11/2019
Raoni Barcelos,Carlos Huachin,KO/TKO,Elbows,5/11/2019
Viviane Araujo,Talita Bernardo,KO/TKO,Punch,5/11/2019
Donald Cerrone,Al Iaquinta,U-DEC,,5/4/2019
Derek Brunson,Elias Theodorou,U-DEC,,5/4/2019
Shane Burgos,Cub Swanson,S-DEC,,5/4/2019
Merab Dvalishvili,Brad Katona,U-DEC,,5/4/2019
Walt Harris,Serghei Spivac,KO/TKO,Knees,5/4/2019
Andrew Sanchez,Marc-Andre Barriault,U-DEC,,5/4/2019
Macy Chiasson,Sarah Moras,KO/TKO,Punches,5/4/2019
Vince Morales,Aiemann Zahabi,U-DEC,,5/4/2019
Nordine Taleb,Kyle Prepolec,U-DEC,,5/4/2019
Matt Sayles,Kyle Nelson,SUB,Arm Triangle,5/4/2019
Arjan Bhullar,Juan Adams,U-DEC,,5/4/2019
Cole Smith,Mitch Gagnon,U-DEC,,5/4/2019
Jack Hermansson,Jacare Souza,U-DEC,,4/27/2019
Greg Hardy,Dmitrii Smoliakov,KO/TKO,Punches,4/27/2019
Mike Perry,Alex Oliveira,U-DEC,,4/27/2019
Glover Teixeira,Ion Cutelaba,SUB,Rear Naked Choke,4/27/2019
Cory Sandhagen,John Lineker,S-DEC,,4/27/2019
Roosevelt Roberts,Thomas Gifford,U-DEC,,4/27/2019
Takashi Sato,Ben Saunders,KO/TKO,Elbows,4/27/2019
Augusto Sakai,Andrei Arlovski,S-DEC,,4/27/2019
Carla Esparza,Virna Jandiroba,U-DEC,,4/27/2019
Gilbert Burns,Mike Davis,SUB,Rear Naked Choke,4/27/2019
Jim Miller,Jason Gonzalez,SUB,Rear Naked Choke,4/27/2019
Angela Hill,Jodie Esquibel,U-DEC,,4/27/2019
Dhiego Lima,Court McGee,S-DEC,,4/27/2019
Alistair Overeem,Aleksei Oleinik,KO/TKO,Knee,4/20/2019
Islam Makhachev,Arman Tsarukyan,U-DEC,,4/20/2019
Sergei Pavlovich,Marcelo Golm,KO/TKO,Punches,4/20/2019
Roxanne Modafferi,Antonina Shevchenko,S-DEC,,4/20/2019
Krzysztof Jotko,Alen Amedovski,U-DEC,,4/20/2019
Movsar Evloev,SeungWoo Choi,U-DEC,,4/20/2019
Sultan Aliev,Keita Nakamura,U-DEC,,4/20/2019
Alexander Yakovlev,Alex Da Silva,SUB,Other - Choke,4/20/2019
Shamil Abdurakhimov,Marcin Tybura,KO/TKO,Punches,4/20/2019
Michal Oleksiejczuk,Gadzhimurad Antigulov,KO/TKO,Punch,4/20/2019
Magomed Mustafaev,Rafael Fiziev,KO/TKO,Spinning Back Kick,4/20/2019
Dustin Poirier,Max Holloway,U-DEC,,4/13/2019
Israel Adesanya,Kelvin Gastelum,U-DEC,,4/13/2019
Khalil Rountree Jr.,Eryk Anders,U-DEC,,4/13/2019
Dwight Grant,Alan Jouban,S-DEC,,4/13/2019
Nikita Krylov,Ovince Saint Preux,SUB,Rear Naked Choke,4/13/2019
Matt Frevola,Jalin Turner,U-DEC,,4/13/2019
Alexandre Pantoja,Wilson Reis,KO/TKO,Punch,4/13/2019
Max Griffin,Zelim Imadaev,M-DEC,,4/13/2019
Khalid Taha,Boston Salmon,KO/TKO,Punch,4/13/2019
Belal Muhammad,Curtis Millender,U-DEC,,4/13/2019
Montel Jackson,Andre Soukhamthath,U-DEC,,4/13/2019
Poliana Botelho,Lauren Mueller,U-DEC,,4/13/2019
Brandon Davis,Randy Costa,SUB,Rear Naked Choke,4/13/2019
Justin Gaethje,Edson Barboza,KO/TKO,Punch,3/30/2019
Jack Hermansson,David Branch,SUB,Guillotine Choke,3/30/2019
Josh Emmett,Michael Johnson,KO/TKO,Punch,3/30/2019
Michelle Waterson,Karolina Kowalkiewicz,U-DEC,,3/30/2019
Paul Craig,Kennedy Nzechukwu,SUB,Triangle Choke,3/30/2019
Sodiq Yusuff,Sheymon Moraes,U-DEC,,3/30/2019
Marina Rodriguez,Jessica Aguilar,U-DEC,,3/30/2019
Desmond Green,Ross Pearson,KO/TKO,Punches,3/30/2019
Kevin Aguilar,Enrique Barzola,U-DEC,,3/30/2019
Kevin Holland,Gerald Meerschaert,S-DEC,,3/30/2019
Casey Kenney,Ray Borg,U-DEC,,3/30/2019
Maryna Moroz,Sabina Mazo,U-DEC,,3/30/2019
Alex Perez,Mark De La Rosa,U-DEC,,3/30/2019
Anthony Pettis,Stephen Thompson,KO/TKO,Punch,3/23/2019
Curtis Blaydes,Justin Willis,U-DEC,,3/23/2019
John Makdessi,Jesus Pinedo,U-DEC,,3/23/2019
Jussier Formiga,Deiveson Figueiredo,U-DEC,,3/23/2019
Luis Pena,Steven Peterson,U-DEC,,3/23/2019
Maycee Barber,JJ Aldrich,KO/TKO,Punches,3/23/2019
Bryce Mitchell,Bobby Moffett,U-DEC,,3/23/2019
Marlon Vera,Frankie Saenz,KO/TKO,Punch,3/23/2019
Jennifer Maia,Alexis Davis,U-DEC,,3/23/2019
Randa Markos,Angela Hill,SUB,Armbar,3/23/2019
Chris Gutierrez,Ryan MacDonald,U-DEC,,3/23/2019
Jordan Espinosa,Eric Shelton,U-DEC,,3/23/2019
Jorge Masvidal,Darren Till,KO/TKO,Punch,3/16/2019
Leon Edwards,Gunnar Nelson,S-DEC,,3/16/2019
Dominick Reyes,Volkan Oezdemir,S-DEC,,3/16/2019
Nathaniel Wood,Jose Quinonez,SUB,Rear Naked Choke,3/16/2019
Claudio Silva,Danny Roberts,SUB,Armbar,3/16/2019
Jack Marshman,John Phillips,S-DEC,,3/16/2019
Arnold Allen,Jordan Rinaldi,U-DEC,,3/16/2019
Marc Diakiese,Joe Duffy,U-DEC,,3/16/2019
Saparbeg Safarov,Nicolae Negumereanu,U-DEC,,3/16/2019
Dan Ige,Danny Henry,SUB,Rear Naked Choke,3/16/2019
Molly McCann,Priscila Cachoeira,U-DEC,,3/16/2019
Mike Grundy,Nad Narimani,KO/TKO,Punches,3/16/2019
Junior Dos Santos,Derrick Lewis,KO/TKO,Punches,3/9/2019
Elizeu Zaleski dos Santos,Curtis Millender,SUB,Rear Naked Choke,3/9/2019
Niko Price,Tim Means,KO/TKO,Punch,3/9/2019
Blagoy Ivanov,Ben Rothwell,U-DEC,,3/9/2019
Beneil Dariush,Drew Dober,SUB,Armbar,3/9/2019
Omari Akhmedov,Tim Boetsch,U-DEC,,3/9/2019
Anthony Rocco Martin,Sergio Moraes,U-DEC,,3/9/2019
Yana Kunitskaya,Marion Reneau,U-DEC,,3/9/2019
Grant Dawson,Julian Erosa,U-DEC,,3/9/2019
Maurice Greene,Jeff Hughes,S-DEC,,3/9/2019
Matt Schnell,Louis Smolka,SUB,Triangle Choke,3/9/2019
Alex Morono,Zak Ottow,KO/TKO,Elbows,3/9/2019
Alex White,Dan Moret,U-DEC,,3/9/2019
Jon Jones,Anthony Smith,U-DEC,,3/2/2019
Kamaru Usman,Tyron Woodley,U-DEC,,3/2/2019
Ben Askren,Robbie Lawler,SUB,Other - Choke,3/2/2019
Weili Zhang,Tecia Torres,U-DEC,,3/2/2019
Pedro Munhoz,Cody Garbrandt,KO/TKO,Punch,3/2/2019
Zabit Magomedsharipov,Jeremy Stephens,U-DEC,,3/2/2019
Johnny Walker,Misha Cirkunov,KO/TKO,Flying Knee,3/2/2019
Cody Stamann,Alejandro Perez,U-DEC,,3/2/2019
Diego Sanchez,Mickey Gall,KO/TKO,Punches,3/2/2019
Edmen Shahbazyan,Charles Byrd,KO/TKO,Elbows,3/2/2019
Macy Chiasson,Gina Mazany,KO/TKO,Punch,3/2/2019
Hannah Cifers,Polyana Viana,S-DEC,,3/2/2019
Thiago Santos,Jan Blachowicz,KO/TKO,Punch,2/23/2019
Stefan Struve,Marcos Rogerio de Lima,SUB,Arm Triangle,2/23/2019
Michal Oleksiejczuk,Gian Villante,KO/TKO,Punch,2/23/2019
Liz Carmouche,Lucie Pudilova,U-DEC,,2/23/2019
Petr Yan,John Dodson,U-DEC,,2/23/2019
Magomed Ankalaev,Klidson Abreu,U-DEC,,2/23/2019
Dwight Grant,Carlo Pedersoli Jr.,KO/TKO,Punch,2/23/2019
Chris Fishgold,Daniel Teymur,SUB,Rear Naked Choke,2/23/2019
Gillian Robertson,Veronica Macedo,SUB,Rear Naked Choke,2/23/2019
Damir Hadzovic,Marco Polo Reyes,KO/TKO,Punches,2/23/2019
Ismail Naurdiev,Michel Prazeres,U-DEC,,2/23/2019
Diego Ferreira,Rustam Khabilov,U-DEC,,2/23/2019
Damir Ismagulov,Joel Alvarez,U-DEC,,2/23/2019
Francis Ngannou,Cain Velasquez,KO/TKO,Punches,2/17/2019
Paul Felder,James Vick,U-DEC,,2/17/2019
Cynthia Calvillo,Cortney Casey,U-DEC,,2/17/2019
Kron Gracie,Alex Caceres,SUB,Rear Naked Choke,2/17/2019
Vicente Luque,Bryan Barberena,KO/TKO,Knee,2/17/2019
Andre Fili,Myles Jury,U-DEC,,2/17/2019
Aljamain Sterling,Jimmie Rivera,U-DEC,,2/17/2019
Manny Bermudez,Benito Lopez,SUB,Guillotine Choke,2/17/2019
Andrea Lee,Ashlee Evans-Smith,U-DEC,,2/17/2019
Nik Lentz,Scott Holtzman,U-DEC,,2/17/2019
Luke Sanders,Renan Barao,KO/TKO,Punch,2/17/2019
Emily Whitmire,Aleksandra Albu,SUB,Rear Naked Choke,2/17/2019
Israel Adesanya,Anderson Silva,U-DEC,,2/9/2019
Lando Vannata,Marcos Mariano,SUB,Kimura,2/9/2019
Ricky Simon,Rani Yahya,U-DEC,,2/9/2019
Montana De La Rosa,Nadia Kassem,SUB,Armbar,2/9/2019
Jimmy Crute,Sam Alvey,KO/TKO,Punches,2/9/2019
Devonte Smith,Dong Hyun Ma,KO/TKO,Punch,2/9/2019
Shane Young,Austin Arnett,U-DEC,,2/9/2019
Kai Kara-France,Raulian Paiva,S-DEC,,2/9/2019
Kyung Ho Kang,Teruto Ishihara,SUB,Rear Naked Choke,2/9/2019
Jalin Turner,Callan Potter,KO/TKO,Kick,2/9/2019
Jonathan Martinez,Wuliji Buren,U-DEC,,2/9/2019
Marlon Moraes,Raphael Assuncao,SUB,Guillotine Choke,2/2/2019
Jose Aldo,Renato Moicano,KO/TKO,Punches,2/2/2019
Demian Maia,Lyman Good,SUB,Rear Naked Choke,2/2/2019
Charles Oliveira,David Teymur,SUB,Anaconda Choke,2/2/2019
Johnny Walker,Justin Ledet,KO/TKO,Spinning Back Fist,2/2/2019
Livinha Souza,Sarah Frota,S-DEC,,2/2/2019
Markus Perez,Anthony Hernandez,SUB,Anaconda Choke,2/2/2019
Mara Romero Borella,Taila Santos,S-DEC,,2/2/2019
Thiago Alves,Max Griffin,S-DEC,,2/2/2019
Jairzinho Rozenstruik,Junior Albini,KO/TKO,Kick,2/2/2019
Geraldo de Freitas,Felipe Colares,U-DEC,,2/2/2019
Said Nurmagomedov,Ricardo Ramos,KO/TKO,Spinning Back Kick,2/2/2019
Rogerio Bontorin,Magomed Bibulatov,S-DEC,,2/2/2019
Henry Cejudo,TJ Dillashaw,KO/TKO,Punches,1/19/2019
Allen Crowder,Greg Hardy,DQ,,1/19/2019
Gregor Gillespie,Yancy Medeiros,KO/TKO,Punches,1/19/2019
Joseph Benavidez,Dustin Ortiz,U-DEC,,1/19/2019
Paige VanZant,Rachael Ostovich,SUB,Armbar,1/19/2019
Glover Teixeira,Karl Roberson,SUB,Arm Triangle,1/19/2019
Donald Cerrone,Alexander Hernandez,KO/TKO,Kick,1/19/2019
Joanne Calderwood,Ariane Lipski,U-DEC,,1/19/2019
Alonzo Menifield,Vinicius Moreira,KO/TKO,Punch,1/19/2019
Cory Sandhagen,Mario Bautista,SUB,Armbar,1/19/2019
Dennis Bermudez,Te Edwards,U-DEC,,1/19/2019
Geoff Neal,Belal Muhammad,U-DEC,,1/19/2019
Chance Rencountre,Kyle Stewart,SUB,Rear Naked Choke,1/19/2019
Jon Jones,Alexander Gustafsson,KO/TKO,Punches,12/29/2018
Amanda Nunes,Cristiane Justino,KO/TKO,Punches,12/29/2018
Michael Chiesa,Carlos Condit,SUB,Kimura,12/29/2018
Corey Anderson,Ilir Latifi,U-DEC,,12/29/2018
Alexander Volkanovski,Chad Mendes,KO/TKO,Punches,12/29/2018
Andrei Arlovski,Walt Harris,Overturned,,12/29/2018
Megan Anderson,Cat Zingano,KO/TKO,Kick,12/29/2018
Petr Yan,Douglas Silva de Andrade,KO/TKO,,12/29/2018
Ryan Hall,BJ Penn,SUB,Heel Hook,12/29/2018
Nathaniel Wood,Andre Ewell,SUB,Rear Naked Choke,12/29/2018
Uriah Hall,Bevon Lewis,KO/TKO,Punch,12/29/2018
Curtis Millender,Siyar Bahadurzada,U-DEC,,12/29/2018
Montel Jackson,Brian Kelleher,SUB,D'Arce Choke,12/29/2018
Al Iaquinta,Kevin Lee,U-DEC,,12/15/2018
Edson Barboza,Dan Hooker,KO/TKO,Punches,12/15/2018
Rob Font,Sergio Pettis,U-DEC,,12/15/2018
Charles Oliveira,Jim Miller,SUB,Rear Naked Choke,12/15/2018
Zak Ottow,Dwight Grant,S-DEC,,12/15/2018
Drakkar Klose,Bobby Green,U-DEC,,12/15/2018
Joaquim Silva,Jared Gordon,KO/TKO,Punches,12/15/2018
Jack Hermansson,Gerald Meerschaert,SUB,Guillotine Choke,12/15/2018
Zak Cummings,Trevor Smith,U-DEC,,12/15/2018
Dan Ige,Jordan Griffin,U-DEC,,12/15/2018
Mike Rodriguez,Adam Milstead,KO/TKO,Knee,12/15/2018
Juan Adams,Chris de la Rocha,KO/TKO,Knee,12/15/2018
Max Holloway,Brian Ortega,KO/TKO,,12/8/2018
Valentina Shevchenko,Joanna Jedrzejczyk,U-DEC,,12/8/2018
Gunnar Nelson,Alex Oliveira,SUB,Rear Naked Choke,12/8/2018
Hakeem Dawodu,Kyle Bochniak,S-DEC,,12/8/2018
Thiago Santos,Jimi Manuwa,KO/TKO,Punch,12/8/2018
Nina Ansaroff,Claudia Gadelha,U-DEC,,12/8/2018
Gilbert Burns,Olivier Aubin-Mercier,U-DEC,,12/8/2018
Jessica Eye,Katlyn Chookagian,S-DEC,,12/8/2018
Elias Theodorou,Eryk Anders,S-DEC,,12/8/2018
Brad Katona,Matthew Lopez,U-DEC,,12/8/2018
Dhiego Lima,Chad Laprise,KO/TKO,Punch,12/8/2018
Diego Ferreira,Kyle Nelson,KO/TKO,Punches,12/8/2018
Aleksandar Rakic,Devin Clark,KO/TKO,Spinning Back Fist,12/8/2018
Junior Dos Santos,Tai Tuivasa,KO/TKO,Punches,12/1/2018
Mauricio Rua,Tyson Pedro,KO/TKO,Punches,12/1/2018
Justin Willis,Mark Hunt,U-DEC,,12/1/2018
Anthony Rocco Martin,Jake Matthews,SUB,Anaconda Choke,12/1/2018
Sodiq Yusuff,Suman Mokhtarian,KO/TKO,Punches,12/1/2018
Jimmy Crute,Paul Craig,SUB,Kimura,12/1/2018
Aleksei Kunchenko,Yushin Okami,U-DEC,,12/1/2018
Wilson Reis,Ben Nguyen,U-DEC,,12/1/2018
Keita Nakamura,Salim Touahri,S-DEC,,12/1/2018
Kai Kara-France,Elias Garcia,U-DEC,,12/1/2018
Christos Giagos,Mizuto Hirota,U-DEC,,12/1/2018
Damir Ismagulov,Alex Gorgees,U-DEC,,12/1/2018
Kamaru Usman,Rafael Dos Anjos,U-DEC,,11/30/2018
Juan Espino,Justin Frazier,SUB,Armbar,11/30/2018
Macy Chiasson,Pannie Kianzad,SUB,Rear Naked Choke,11/30/2018
Pedro Munhoz,Bryan Caraway,KO/TKO,Kick,11/30/2018
Edmen Shahbazyan,Darren Stewart,S-DEC,,11/30/2018
Antonina Shevchenko,Ji Yeon Kim,U-DEC,,11/30/2018
Kevin Aguilar,Rick Glenn,U-DEC,,11/30/2018
Joseph Benavidez,Alex Perez,KO/TKO,Punches,11/30/2018
Maurice Greene,Michel Batista,SUB,Triangle Choke,11/30/2018
Leah Letson,Julija Stoliarenko,S-DEC,,11/30/2018
Roosevelt Roberts,Darrell Horcher,SUB,Guillotine Choke,11/30/2018
Tim Means,Ricky Rainey,KO/TKO,Punches,11/30/2018
Raoni Barcelos,Chris Gutierrez,SUB,Rear Naked Choke,11/30/2018
Francis Ngannou,Curtis Blaydes,KO/TKO,Punch,11/24/2018
Alistair Overeem,Sergei Pavlovich,KO/TKO,Punches,11/24/2018
Song Yadong,Vince Morales,U-DEC,,11/24/2018
Jingliang Li,David Zawada,KO/TKO,Kick,11/24/2018
Alex Morono,Kenan Song,U-DEC,,11/24/2018
Yanan Wu,Lauren Mueller,SUB,Armbar,11/24/2018
Rashad Coulter,Hu Yaozong,U-DEC,,11/24/2018
Weili Zhang,Jessica Aguilar,SUB,Armbar,11/24/2018
Liu Pingyuan,Martin Day,S-DEC,,11/24/2018
Xiaonan Yan,Syuri Kondo,U-DEC,,11/24/2018
Kevin Holland,John Phillips,SUB,Rear Naked Choke,11/24/2018
Louis Smolka,Su Mudaerji,SUB,Armbar,11/24/2018
Santiago Ponzinibbio,Neil Magny,KO/TKO,Punch,11/17/2018
Ricardo Lamas,Darren Elkins,KO/TKO,Elbows,11/17/2018
Johnny Walker,Khalil Rountree Jr.,KO/TKO,Elbow,11/17/2018
Ian Heinisch,Cezar Ferreira,U-DEC,,11/17/2018
Marlon Vera,Guido Cannetti,SUB,Rear Naked Choke,11/17/2018
Cynthia Calvillo,Poliana Botelho,SUB,Rear Naked Choke,11/17/2018
Michel Prazeres,Bartosz Fabinski,SUB,Guillotine Choke,11/17/2018
Alexandre Pantoja,Yuta Sasaki,SUB,Rear Naked Choke,11/17/2018
Austin Arnett,Humberto Bandenay,U-DEC,,11/17/2018
Laureano Staropoli,Hector Aldana,U-DEC,,11/17/2018
Jesus Pinedo,Devin Powell,U-DEC,,11/17/2018
Nad Narimani,Anderson Dos Santos,U-DEC,,11/17/2018
Yair Rodriguez,Chan Sung Jung,KO/TKO,Elbow,11/10/2018
Donald Cerrone,Mike Perry,SUB,Armbar,11/10/2018
Germaine de Randamie,Raquel Pennington,U-DEC,,11/10/2018
Beneil Dariush,Thiago Moises,U-DEC,,11/10/2018
Maycee Barber,Hannah Cifers,KO/TKO,Punches,11/10/2018
Michael Trizano,Luis Pena,S-DEC,,11/10/2018
Ashley Yoder,Amanda Cooper,S-DEC,,11/10/2018
Chas Skelly,Bobby Moffett,Overturned,D'Arce Choke,11/10/2018
Davi Ramos,John Gunther,SUB,Rear Naked Choke,11/10/2018
Devonte Smith,Julian Erosa,KO/TKO,Punches,11/10/2018
Eric Shelton,Joseph Morales,S-DEC,,11/10/2018
Mark De La Rosa,Joby Sanchez,S-DEC,,11/10/2018
